,Country,wine_as_share_alcohol_consumption,beer_as_share_alcohol_consumption,spirits_as_share_alcohol_consumption,tot_alcohol_consumption_per_capita_liters,gdp_per_capita,Population,percent_who_have_not_drank_alcohol_in_last_year,perc_life_no_drink,percent_who_have_drank_alcohol_in_last_year,prev_alc_use_disorders_age_10_14,prev_alc_use_disorders_age_15_19,prev_alc_use_disorders_all_ages,prev_alc_use_disorders_age_25_29,prev_alc_use_disorders_age_30_34,prev_alc_use_disorders_age_20_24,prev_alc_use_disorders_age_70+,prev_alc_use_disorders_age_15_49,prev_alc_use_disorders_age_5_14,prev_alc_use_disorders_age_50_69,prev_alc_use_disorders_age_standardized,daly_alc_use_disorders_all_ages,daly_alc_use_disorders_70+,daly_alc_use_disorders_5_14,daly_alc_use_disorders_15_49,daly_alc_use_disorders__all_ages_standardized,daly_alc_use_disorders_50_69,share_alc_use_disorders_both_sexes,share_alc_use_disorders_female,share_alc_use_disorders_male,perc_heavy_drinkers_both_sexes,perc_heavy_drinkers_female,perc_heavy_drinkers_male,perc_consume_alc_past12,perc_consume_alc_past12Female,perc_consume_alc_past12Male,Region,perc_dependent,perc_dependent_female,perc_dependent_male
10,Bahamas,16.6,39.2,41.2,4.550000190734863,36023.59375,392707.0,56.2,33.0,43.8,0.07,0.87,2.24,3.49,3.83,2.57,1.75,3.02,0.04,2.55,2.05,386.77,287.04,3.68,481.55,345.1,617.65,6.7,3.7,9.9,43.5,21.7,55.7,43.8,30.5,57.9,Americas,2.8,1.8,3.9
11,Bahrain,6.2,19.0,45.2,1.2999999523162842,48110.734375,1362157.0,91.2,84.4,8.8,0.04,0.29,0.65,0.87,0.95,0.71,0.35,0.83,0.02,0.57,0.5,79.46,52.26,1.86,99.86,60.68,82.57,1.6,0.3,2.3,29.5,9.4,33.0,8.8,3.8,11.5,Eastern Mediterranean,0.3,0.1,0.4
12,Barbados,10.5,37.6,50.0,9.329999923706056,15382.765625,278095.0,49.5,25.1,50.5,0.07,0.72,1.52,2.43,2.54,1.92,1.12,2.03,0.04,1.64,1.37,227.58,159.94,3.49,277.46,191.88,317.67,6.7,3.7,10.1,46.9,25.8,60.5,50.5,37.4,65.2,Americas,2.7,1.7,3.8
13,Belarus,2.2,22.8,49.0,12.0,18362.74609375,9700609.0,26.4,7.5,73.6,0.11,0.89,3.6,3.47,4.13,2.33,4.9,3.6,0.06,4.9,2.89,1337.27,1442.26,4.39,1292.54,1002.07,2211.25,18.8,6.2,33.9,34.1,17.7,51.3,73.6,69.2,79.0,Europe,11.0,3.8,19.6
14,Belgium,38.3,44.4,14.2,11.81999969482422,49456.3984375,11248306.0,23.5,9.4,76.5,0.15,1.66,2.62,4.49,4.18,4.27,1.33,3.71,0.08,2.72,2.5,387.8,225.03,6.39,462.19,329.53,595.83,8.1,4.3,12.1,42.1,23.3,57.3,76.5,66.8,86.6,Europe,4.3,2.3,6.3
15,Belize,1.9,69.1,26.7,6.739999771118164,7358.61865234375,359884.0,58.5,34.4,41.5,0.07,0.77,1.57,2.83,3.05,2.14,1.42,2.3,0.04,2.11,1.65,252.16,228.36,3.52,342.93,277.46,528.42,7.3,2.4,12.4,47.3,24.7,59.3,41.5,28.4,54.9,Americas,3.1,1.0,5.2
16,Benin,9.6,63.7,13.1,2.970000028610229,2945.97021484375,10932791.0,73.9,69.5,26.1,0.05,0.25,0.41,0.91,1.03,0.64,0.58,0.72,0.03,0.74,0.55,58.14,138.56,2.18,95.35,89.74,175.76,6.4,2.1,10.8,37.3,15.8,46.5,26.1,15.4,37.0,Africa,2.2,0.8,3.7
17,Bhutan,4.2,46.2,49.6,0.4199999868869781,10086.0732421875,743284.0,70.4,64.8,29.6,0.09,1.08,2.69,4.56,4.87,3.33,2.84,3.71,0.05,3.54,2.62,294.86,313.12,4.52,406.0,290.4,421.13,2.1,0.6,3.3,37.8,16.0,45.6,29.6,17.3,39.8,South-East Asia,0.8,0.2,1.3
18,Bolivia,4.3,72.8,21.3,4.639999866485596,7984.412109375,11090090.0,54.6,12.0,45.4,0.06,0.6,1.01,1.75,1.74,1.52,1.06,1.45,0.03,1.49,1.06,200.36,313.52,2.82,241.96,227.49,522.51,,,,,,,,,,,,,
19,Bosnia and Herzegovina,8.6,75.8,12.4,6.920000076293945,12630.6669921875,3524328.0,52.1,27.4,47.9,0.1,1.18,2.37,3.56,3.41,3.18,2.19,2.88,0.05,2.64,2.06,305.88,269.55,4.51,335.11,245.98,431.23,6.0,2.2,9.8,41.8,20.4,53.7,47.9,34.0,62.1,Europe,3.4,1.4,5.5
20,Botswana,23.5,48.1,4.4,6.860000133514404,14895.9052734375,2305177.0,68.0,53.0,32.0,0.07,0.72,1.91,3.12,3.46,2.16,1.71,2.6,0.04,3.2,1.96,224.94,216.21,3.03,302.03,240.1,478.29,7.1,1.9,12.4,59.4,34.8,70.8,32.0,20.0,44.0,Africa,2.5,0.7,4.2
21,Brazil,3.4,61.8,34.3,7.860000133514404,15064.17578125,205188208.0,59.7,21.4,40.3,0.09,1.44,3.56,6.03,6.53,4.51,2.08,5.16,0.05,3.23,3.26,504.48,296.03,4.46,693.35,456.13,641.68,4.2,1.6,6.9,48.1,25.1,60.3,40.3,27.3,54.0,Americas,1.4,0.5,2.3
22,Brunei,0.0,100.0,0.0,0.4600000083446502,63147.484375,421449.0,66.7,38.6,33.3,0.07,0.62,1.08,1.76,1.73,1.54,0.63,1.43,0.04,1.09,0.95,114.99,72.11,3.05,154.86,100.37,132.74,,,,,,,,,,,,,
23,Bulgaria,17.2,38.8,42.9,12.34000015258789,19988.224609375,7309255.0,34.0,13.9,66.0,0.09,1.05,2.06,3.5,3.53,2.88,1.32,2.86,0.05,2.03,1.86,247.94,132.21,3.99,347.24,213.86,270.07,6.9,1.9,12.2,50.6,29.8,65.9,66.0,53.9,79.2,Europe,2.3,0.4,4.3
24,Burkina Faso,2.7,18.0,5.0,11.829999923706056,1925.33203125,18718022.0,63.1,58.5,36.9,0.05,0.26,0.4,0.91,1.03,0.64,0.62,0.72,0.03,0.74,0.55,62.52,167.44,2.35,98.87,97.54,200.87,1.8,0.3,3.4,46.3,22.5,57.5,36.9,23.2,51.2,Africa,0.7,0.0,1.4
25,Burundi,0.1,39.3,0.1,7.03000020980835,825.2056884765625,10727153.0,68.4,52.9,31.6,0.07,0.58,1.06,2.42,2.73,1.68,1.4,1.86,0.04,2.02,1.41,126.28,248.49,3.35,211.46,183.62,341.16,6.8,2.3,11.6,52.6,28.6,64.2,31.6,20.0,43.7,Africa,2.4,0.9,3.9
26,Cambodia,0.6,88.1,11.2,6.369999885559082,3541.376708984375,15417527.0,69.1,45.6,30.9,0.05,0.4,0.76,1.41,1.52,1.09,0.51,1.17,0.03,0.82,0.77,105.66,81.68,2.26,154.68,109.81,159.88,5.1,1.8,8.7,37.3,16.3,47.7,30.9,19.6,43.2,Western Pacific,2.7,0.7,5.0
27,Cameroon,1.4,43.5,0.1,6.170000076293945,3570.424560546875,23012650.0,,60.9,,0.05,0.26,0.45,0.94,1.07,0.65,0.6,0.75,0.03,0.75,0.56,66.13,141.44,2.07,102.17,95.45,190.56,7.0,2.3,11.8,47.4,23.7,58.5,33.8,21.4,46.9,Africa,2.5,0.9,4.0
28,Canada,25.6,45.1,25.6,8.880000114440918,47522.140625,35732120.0,35.5,12.2,64.5,0.2,1.89,2.02,3.85,3.09,4.3,1.22,2.99,0.12,1.69,1.98,305.08,215.46,8.55,391.74,265.95,383.18,8.0,4.1,12.0,32.9,15.5,45.0,64.5,52.1,77.3,Americas,4.1,2.3,6.0
29,Cape Verde,45.0,55.0,0.0,5.949999809265137,6266.8818359375,552169.0,,55.7,,0.04,0.26,0.55,0.93,1.05,0.66,0.49,0.78,0.03,0.64,0.54,75.74,94.86,1.84,102.47,78.82,130.39,,,,,,,,,,,,,
30,Central African Republic,0.7,25.9,0.0,2.430000066757202,852.7492065429688,4819341.0,62.4,43.7,37.6,0.06,0.43,0.88,1.83,2.16,1.22,0.66,1.52,0.04,1.44,1.1,131.45,133.37,3.0,205.27,180.67,381.92,3.8,0.9,6.8,77.3,59.1,86.6,37.6,24.9,50.8,Africa,1.3,0.3,2.3
31,Chad,1.0,70.2,5.3,1.4500000476837158,1857.10791015625,14140277.0,77.6,72.7,22.4,0.05,0.25,0.33,0.85,0.94,0.62,0.49,0.65,0.03,0.64,0.49,51.22,141.46,2.25,88.92,89.31,186.89,0.7,0.0,1.4,34.8,14.3,43.4,22.4,13.1,31.7,Africa,0.7,0.0,1.4
32,Chile,33.1,36.1,30.8,9.260000228881836,24440.416015625,17870122.0,32.4,6.6,67.6,0.14,1.44,3.11,4.86,5.18,3.98,1.9,4.47,0.08,2.55,2.87,385.38,263.29,5.79,538.65,343.09,422.54,6.0,1.9,10.3,32.0,14.7,44.5,67.6,55.8,80.0,Americas,2.5,0.8,4.3
33,China,3.1,29.6,67.2,7.150000095367432,12612.3515625,1393715456.0,44.1,42.1,55.9,0.05,0.46,1.46,1.91,2.19,1.35,1.06,1.82,0.03,1.56,1.21,194.8,130.32,2.14,245.42,155.7,226.03,4.4,0.2,8.4,40.7,20.1,52.9,55.9,42.6,68.6,Western Pacific,2.3,0.1,4.4
34,Colombia,1.1,71.3,27.2,5.78000020980835,14095.748046875,47119728.0,61.7,26.4,38.3,0.09,1.22,2.24,4.42,4.46,3.54,1.65,3.32,0.05,1.92,2.15,224.38,159.34,4.64,343.31,213.44,201.55,7.0,3.8,10.4,39.9,18.6,51.0,38.3,25.6,51.7,Americas,3.2,1.9,4.5
35,Comoros,30.6,24.6,44.8,0.8799999952316284,2959.498046875,730221.0,95.9,93.3,4.1,0.07,0.57,1.17,2.29,2.5,1.64,1.32,1.77,0.04,1.64,1.28,137.3,216.38,2.94,199.17,154.95,245.85,0.7,0.0,1.4,6.7,1.9,8.2,4.1,1.9,6.2,Africa,0.7,0.0,1.4
36,Congo,4.7,84.4,10.3,7.900000095367432,5224.30224609375,5064390.0,48.3,29.7,51.7,0.06,0.44,1.03,1.95,2.28,1.28,0.79,1.69,0.03,1.52,1.16,137.67,142.93,2.44,212.57,165.93,309.52,2.1,0.5,3.8,82.6,68.6,90.7,51.7,38.0,65.5,Africa,0.7,0.2,1.3
37,Cook Islands,16.1,31.7,52.2,,,,49.4,24.0,50.6,0.04,0.32,0.83,1.27,1.51,0.86,0.63,1.22,0.03,0.85,0.8,172.26,150.37,1.93,242.73,159.96,221.33,5.3,1.8,8.9,81.0,65.9,89.8,50.6,37.0,64.5,Western Pacific,2.9,0.7,5.2
38,Costa Rica,7.2,64.1,27.9,4.760000228881836,19141.68359375,4895241.0,63.4,27.9,36.6,0.09,0.98,2.03,3.35,3.6,2.68,1.56,2.95,0.05,1.65,1.89,259.39,186.19,4.03,367.93,239.46,288.23,6.9,3.4,10.4,38.0,17.2,48.2,36.6,23.9,49.5,Americas,3.0,1.5,4.4
39,Cote d'Ivoire,5.0,21.9,0.2,2.609999895095825,4417.150390625,23596738.0,61.5,56.7,38.5,0.04,0.26,0.44,0.9,1.0,0.64,0.58,0.73,0.03,0.74,0.54,69.97,147.87,1.96,105.31,97.89,203.48,,,,,,,,,,,,,
40,Croatia,39.0,44.5,13.0,9.06999969482422,24884.666015625,4254821.0,40.3,18.5,59.7,0.09,1.07,2.73,3.45,3.49,2.91,3.02,3.04,0.05,3.27,2.27,426.73,464.81,4.21,390.57,319.59,692.58,5.8,2.2,9.8,46.3,25.3,60.8,59.7,46.8,73.9,Europe,3.4,1.4,5.6
41,Cuba,4.9,37.3,57.4,,,,53.9,29.7,46.1,0.07,0.73,1.82,2.28,2.4,1.91,1.63,2.18,0.04,2.22,1.55,339.7,257.85,3.36,336.84,260.96,601.06,6.6,3.6,9.6,43.4,21.7,55.0,46.1,32.3,59.9,Americas,2.7,1.7,3.8
42,Cyprus,28.4,29.7,41.9,10.760000228881836,34453.1171875,1187286.0,31.2,13.6,68.8,0.14,1.58,1.95,3.92,3.24,4.0,0.93,2.83,0.08,1.33,1.75,205.95,122.28,6.36,294.15,177.74,170.54,6.9,3.2,10.5,40.8,20.9,54.3,68.8,56.6,80.6,Europe,3.1,1.4,4.7
43,Czechia,21.3,53.3,25.4,14.25,36168.41796875,10523801.0,24.6,9.3,75.4,0.09,1.1,2.76,3.85,4.1,3.08,1.82,3.64,0.05,2.98,2.39,408.65,210.78,3.85,516.5,331.79,554.3,6.0,1.7,10.6,55.9,36.1,71.6,75.4,65.4,86.0,Europe,2.8,0.8,5.0
44,Democratic Republic of Congo,0.6,38.9,0.7,2.049999952316284,1065.242431640625,78656904.0,63.6,45.1,36.4,0.06,0.42,0.79,1.77,2.04,1.2,0.63,1.41,0.04,1.27,1.01,105.17,117.85,2.91,175.07,146.6,273.24,,,,,,,,,,,,,
45,Denmark,44.7,37.4,17.1,10.359999656677246,52892.64453125,5677795.0,25.6,10.7,74.4,0.15,1.62,3.49,4.27,4.08,4.08,2.35,4.09,0.08,4.65,3.12,724.78,620.76,6.48,591.19,545.98,1493.54,7.5,4.2,10.9,40.0,21.5,54.3,74.4,64.2,85.0,Europe,3.9,2.2,5.6
46,Djibouti,16.7,27.5,55.0,0.4900000095367431,4488.802734375,1006266.0,80.3,68.9,19.7,0.07,0.61,1.3,2.4,2.59,1.76,1.47,1.95,0.04,1.98,1.4,156.05,257.55,2.81,224.92,181.18,336.06,0.8,0.2,1.4,40.8,17.9,49.8,19.7,11.1,28.2,Eastern Mediterranean,0.2,0.1,0.3
47,Dominica,0.0,11.1,88.9,11.31999969482422,11873.7421875,70027.0,54.8,30.2,45.2,0.08,1.01,2.2,3.49,3.66,2.91,1.82,3.09,0.05,2.33,2.1,415.91,352.83,4.03,498.62,380.47,705.35,6.8,3.7,9.9,47.1,24.8,59.3,45.2,31.7,59.0,Americas,2.8,1.8,3.8
48,Dominican Republic,4.4,52.2,41.9,6.610000133514404,15328.359375,10405832.0,57.0,32.8,43.0,0.07,0.74,1.41,2.5,2.61,2.0,1.12,2.04,0.04,1.6,1.39,189.8,141.6,3.28,269.23,190.16,286.59,6.8,3.7,9.9,46.1,23.9,58.1,43.0,29.7,56.7,Americas,2.8,1.8,3.9
49,Ecuador,1.5,79.9,17.8,4.980000019073486,11896.375,16195904.0,53.5,11.6,46.5,0.06,0.63,1.09,1.97,1.98,1.65,0.96,1.57,0.03,1.35,1.11,175.11,180.69,2.96,235.19,181.19,317.25,6.7,3.7,9.7,45.8,23.7,58.1,46.5,32.9,60.3,Americas,2.8,1.8,3.9
50,Egypt,4.4,62.0,33.1,0.4000000059604645,10570.4453125,97723792.0,97.2,94.3,2.8,0.04,0.28,0.4,0.8,0.81,0.67,0.21,0.64,0.02,0.35,0.4,44.55,26.52,1.82,71.97,45.59,49.87,1.4,0.2,2.6,18.5,5.9,22.6,2.8,1.4,4.2,Eastern Mediterranean,0.6,0.1,1.2
51,El Salvador,1.3,47.8,50.7,3.5899999141693115,8143.326171875,6231072.0,70.6,35.0,29.4,0.09,1.17,3.6,7.29,8.46,4.14,2.98,5.31,0.05,3.79,3.67,885.61,664.15,4.3,1215.67,934.47,1528.78,6.2,3.6,9.3,34.8,15.5,45.4,29.4,19.0,41.8,Americas,2.7,1.8,3.9
52,Equatorial Guinea,17.0,83.0,0.0,9.079999923706056,28313.43359375,1346974.0,27.1,14.5,72.9,0.05,0.46,0.91,2.06,2.36,1.36,0.78,1.57,0.03,1.43,1.15,107.03,132.13,2.38,179.08,147.9,243.15,6.8,2.0,11.2,88.1,79.1,94.3,72.9,61.7,83.3,Africa,2.4,0.8,3.8
53,Eritrea,0.1,62.1,0.2,,,,79.7,68.1,20.3,0.07,0.58,1.38,3.05,3.57,1.84,1.69,2.28,0.04,2.22,1.7,164.95,295.11,3.18,261.95,219.92,378.95,2.2,0.4,4.1,42.9,19.3,52.5,20.3,11.6,29.2,Africa,0.8,0.2,1.4
54,Estonia,7.4,32.7,50.3,12.390000343322754,31038.8046875,1314658.0,27.2,11.6,72.8,0.09,0.78,2.42,2.63,2.96,1.95,2.0,2.66,0.05,3.44,2.01,802.5,292.66,3.68,875.8,639.26,1449.94,12.2,3.8,22.2,57.4,37.7,74.5,72.8,62.6,84.9,Europe,5.5,1.7,9.9
55,Eswatini,16.1,24.6,0.0,9.84000015258789,8307.7822265625,1133941.0,71.2,55.8,28.8,0.07,0.71,1.9,3.37,3.93,2.19,1.6,2.81,0.04,3.78,2.25,212.53,196.51,3.32,313.22,263.35,514.07,7.1,2.4,12.0,60.0,35.2,71.4,28.8,17.7,40.4,Africa,2.5,0.9,4.1
56,Ethiopia,0.3,54.6,8.3,2.190000057220459,1779.0841064453125,102471896.0,77.4,64.7,22.6,0.08,0.99,1.98,4.7,5.06,3.3,2.3,3.45,0.05,3.69,2.62,212.64,331.22,3.85,365.95,295.32,474.05,2.5,0.5,4.5,45.2,21.3,55.2,22.6,13.2,32.1,Africa,0.8,0.1,1.5
57,Fiji,1.2,69.8,28.9,3.3299999237060547,12569.064453125,917209.0,82.3,60.2,17.7,0.04,0.3,0.6,1.08,1.2,0.79,0.39,0.92,0.02,0.58,0.59,65.73,45.65,1.86,101.2,64.25,72.15,5.4,1.8,8.9,62.4,36.7,72.0,17.7,9.8,25.5,Western Pacific,3.0,0.7,5.3
58,Finland,20.6,48.8,21.5,11.18000030517578,45072.58984375,5479457.0,27.5,11.4,72.5,0.16,1.79,2.43,4.56,3.97,4.61,1.12,3.65,0.09,2.34,2.4,539.43,306.82,7.06,579.85,444.09,920.07,9.1,3.8,14.8,39.0,20.4,53.3,72.5,61.7,83.8,Europe,4.5,1.9,7.2
59,France,58.8,18.8,20.7,12.640000343322754,43345.78515625,63809768.0,24.7,9.8,75.3,0.16,1.53,2.27,3.89,3.6,3.78,1.21,3.29,0.09,2.34,2.23,388.63,221.44,7.0,463.11,334.48,628.83,7.0,3.1,11.1,41.5,23.0,56.7,75.3,65.6,85.8,Europe,3.3,1.5,5.3
60,Gabon,9.2,76.3,13.4,9.56999969482422,15510.0390625,2028524.0,33.5,18.3,66.5,0.05,0.44,1.08,1.93,2.28,1.27,0.77,1.65,0.03,1.6,1.17,143.93,137.72,2.36,201.86,165.19,322.48,6.9,2.1,11.5,86.2,75.6,93.3,66.5,54.1,78.6,Africa,2.4,0.8,3.9
61,Gambia,2.1,8.5,0.0,3.670000076293945,2058.658203125,2253137.0,73.3,68.5,26.7,0.04,0.26,0.4,0.86,0.95,0.63,0.56,0.67,0.03,0.68,0.51,59.23,141.34,1.98,89.66,86.64,176.61,1.0,0.1,1.9,38.1,16.8,47.7,26.7,16.2,37.8,Africa,0.7,0.0,1.4
62,Georgia,43.0,18.4,38.5,9.609999656677246,12605.1396484375,3771135.0,64.9,33.9,35.1,0.1,1.23,2.39,4.33,4.43,3.45,1.73,3.48,0.05,2.26,2.23,272.17,174.4,4.3,403.86,248.94,274.91,4.6,1.0,8.8,47.0,23.9,59.4,35.1,23.0,48.9,Europe,2.1,0.2,4.3
63,Germany,28.4,52.6,18.9,13.0600004196167,51159.296875,82073232.0,20.6,7.9,79.4,0.14,1.46,2.31,3.81,3.52,3.62,1.23,3.15,0.08,2.45,2.15,446.67,279.49,6.35,453.7,345.26,742.5,6.8,4.0,9.8,43.1,24.4,58.7,79.4,70.6,88.5,Europe,3.5,2.0,5.0
64,Ghana,6.6,28.3,8.0,3.119999885559082,4785.99462890625,28870946.0,74.0,69.5,26.0,0.04,0.26,0.48,0.91,1.03,0.64,0.57,0.74,0.03,0.7,0.54,72.41,131.49,1.99,101.88,91.36,180.97,4.1,1.0,7.3,36.2,15.4,45.5,26.0,15.7,36.8,Africa,1.4,0.4,2.5
65,Greece,45.5,31.5,21.8,10.489999771118164,28260.38671875,10806644.0,34.6,15.0,65.4,0.14,1.59,1.66,3.88,3.26,3.98,0.66,2.68,0.08,1.21,1.75,169.93,68.88,6.46,274.8,168.69,141.5,6.1,2.9,9.4,36.1,18.0,49.4,65.4,53.3,78.3,Europe,2.7,1.3,4.2
66,Grenada,7.0,40.9,48.3,9.06999969482422,15142.0625,118994.0,50.4,26.6,49.6,0.07,0.74,1.71,2.51,2.69,2.0,1.26,2.23,0.04,2.18,1.58,299.57,249.65,3.43,339.99,272.11,554.99,6.6,3.6,9.6,50.8,27.8,63.7,49.6,35.7,63.6,Americas,2.8,1.8,3.9
67,Guatemala,2.1,56.1,41.7,2.549999952316284,8125.65576171875,16001105.0,72.7,38.2,27.3,0.09,1.37,3.27,6.93,7.57,4.62,2.84,5.15,0.05,3.59,3.51,702.59,603.66,4.43,1061.74,820.59,1263.83,6.4,3.7,9.5,35.0,14.9,44.6,27.3,16.9,38.6,Americas,2.8,1.8,3.9
68,Guinea,8.9,91.1,0.0,1.0700000524520874,2087.93505859375,11626003.0,78.4,73.6,21.6,0.04,0.24,0.37,0.84,0.94,0.61,0.53,0.66,0.03,0.65,0.5,59.1,139.69,2.25,92.34,89.8,185.2,0.7,0.0,1.4,33.4,13.5,41.6,21.6,12.6,30.7,Africa,0.7,0.0,1.4
69,Guinea-Bissau,31.3,13.7,13.7,5.050000190734863,1800.0633544921875,1788931.0,71.2,66.1,28.8,0.05,0.25,0.43,0.92,1.04,0.64,0.56,0.73,0.03,0.7,0.54,70.68,146.35,2.2,106.95,105.75,227.5,1.0,0.1,2.0,39.5,17.5,49.2,28.8,17.5,40.5,Africa,0.7,0.0,1.4
70,Guyana,0.2,48.4,50.8,7.349999904632568,11261.779296875,755043.0,60.9,36.3,39.1,0.07,0.87,2.0,3.25,3.54,2.51,1.65,2.81,0.04,2.56,2.0,325.83,252.34,3.67,429.3,327.96,572.84,7.2,3.8,10.5,45.7,22.7,57.0,39.1,25.9,52.2,Americas,2.9,1.9,3.9
71,Haiti,0.3,2.3,97.3,2.690000057220459,3102.344970703125,10563762.0,64.9,40.4,35.1,0.07,0.71,1.39,2.38,2.55,1.92,1.44,2.11,0.03,2.18,1.53,252.04,301.82,3.27,345.62,302.55,632.19,6.9,3.8,10.3,44.1,21.5,55.5,35.1,22.9,47.9,Americas,2.8,1.8,3.9
72,Honduras,1.2,46.6,52.1,3.490000009536743,5283.4169921875,9294510.0,70.2,34.8,29.8,0.08,1.0,2.13,4.24,4.71,2.97,2.24,3.31,0.04,2.58,2.35,337.83,508.33,4.02,447.5,414.23,872.23,6.7,3.7,9.7,37.3,16.3,46.8,29.8,18.5,41.3,Americas,2.9,1.8,3.9
73,Hungary,32.2,35.5,32.3,11.600000381469728,27531.64453125,9844250.0,33.4,14.2,66.6,0.09,1.06,2.8,3.59,3.75,2.91,2.4,3.3,0.05,3.38,2.35,431.16,334.1,4.21,444.62,331.49,692.65,21.2,7.2,36.9,50.3,29.7,66.3,66.6,54.8,79.9,Europe,9.4,3.2,16.5
74,Iceland,27.9,56.5,15.5,8.739999771118164,52142.93359375,331068.0,28.5,12.7,71.5,0.14,1.56,2.33,4.32,4.05,4.01,1.25,3.44,0.08,2.06,2.24,297.35,178.86,6.2,404.43,269.02,380.07,4.4,2.0,6.7,39.2,20.5,52.9,71.5,60.3,82.6,Europe,1.9,0.9,3.0
